Total Nacional;Comunidades y Ciudades Autónomas;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;10 Comunitat Valenciana;0-15 años;Extranjeros;Mujeres;2021;53.620
Total Nacional;10 Comunitat Valenciana;0-15 años;Extranjeros;Mujeres;2020;54.426
Total Nacional;10 Comunitat Valenciana;0-15 años;Extranjeros;Mujeres;2019;50.835
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Ambos sexos;2021;14,40
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Ambos sexos;2020;14,33
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Ambos sexos;2019;13,33
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Hombres;2021;14,50
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Hombres;2020;14,41
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Hombres;2019;13,42
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Mujeres;2021;14,31
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Mujeres;2020;14,24
Total Nacional;10 Comunitat Valenciana;0-15 años;% Extranjeros;Mujeres;2019;13,24
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Ambos sexos;2021;3.289.261
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Ambos sexos;2020;3.287.553
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Ambos sexos;2019;3.248.641
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Hombres;2021;1.656.547
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Hombres;2020;1.656.167
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Hombres;2019;1.635.979
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Mujeres;2021;1.632.714
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Mujeres;2020;1.631.386
Total Nacional;10 Comunitat Valenciana;16-64 años;TOTAL;Mujeres;2019;1.612.662
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Ambos sexos;2021;2.747.628
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Ambos sexos;2020;2.745.744
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Ambos sexos;2019;2.744.622
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Hombres;2021;1.385.202
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Hombres;2020;1.383.935
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Hombres;2019;1.383.030
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Mujeres;2021;1.362.426
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Mujeres;2020;1.361.809
Total Nacional;10 Comunitat Valenciana;16-64 años;Españoles;Mujeres;2019;1.361.592
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Ambos sexos;2021;541.633
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Ambos sexos;2020;541.809
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Ambos sexos;2019;504.019
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Hombres;2021;271.345
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Hombres;2020;272.232
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Hombres;2019;252.949
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Mujeres;2021;270.288
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Mujeres;2020;269.577
Total Nacional;10 Comunitat Valenciana;16-64 años;Extranjeros;Mujeres;2019;251.070
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Ambos sexos;2021;16,47
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Ambos sexos;2020;16,48
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Ambos sexos;2019;15,51
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Hombres;2021;16,38
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Hombres;2020;16,44
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Hombres;2019;15,46
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Mujeres;2021;16,55
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Mujeres;2020;16,52
Total Nacional;10 Comunitat Valenciana;16-64 años;% Extranjeros;Mujeres;2019;15,57
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Ambos sexos;2021;996.058
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Ambos sexos;2020;981.752
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Ambos sexos;2019;963.874
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Hombres;2021;436.819
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Hombres;2020;429.985
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Hombres;2019;422.045
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Mujeres;2021;559.239
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Mujeres;2020;551.767
Total Nacional;10 Comunitat Valenciana;65 y más;TOTAL;Mujeres;2019;541.829
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Ambos sexos;2021;897.394
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Ambos sexos;2020;884.355
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Ambos sexos;2019;869.976
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Hombres;2021;388.306
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Hombres;2020;382.166
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Hombres;2019;375.664
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Mujeres;2021;509.088
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Mujeres;2020;502.189
Total Nacional;10 Comunitat Valenciana;65 y más;Españoles;Mujeres;2019;494.312
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Ambos sexos;2021;98.664
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Ambos sexos;2020;97.397
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Ambos sexos;2019;93.898
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Hombres;2021;48.513
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Hombres;2020;47.819
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Hombres;2019;46.381
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Mujeres;2021;50.151
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Mujeres;2020;49.578
Total Nacional;10 Comunitat Valenciana;65 y más;Extranjeros;Mujeres;2019;47.517
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Ambos sexos;2021;9,91
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Ambos sexos;2020;9,92
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Ambos sexos;2019;9,74
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Hombres;2021;11,11
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Hombres;2020;11,12
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Hombres;2019;10,99
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Mujeres;2021;8,97
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Mujeres;2020;8,99
Total Nacional;10 Comunitat Valenciana;65 y más;% Extranjeros;Mujeres;2019;8,77
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.059.501
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.063.987
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.067.710
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Hombres;2021;523.976
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Hombres;2020;526.288
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Hombres;2019;528.500
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Mujeres;2021;535.525
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Mujeres;2020;537.699
Total Nacional;11 Extremadura;TOTAL EDADES;TOTAL;Mujeres;2019;539.210
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Ambos sexos;2021;1.024.615
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Ambos sexos;2020;1.029.320
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Ambos sexos;2019;1.035.087
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Hombres;2021;507.185
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Hombres;2020;509.500
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Hombres;2019;512.596
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Mujeres;2021;517.430
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Mujeres;2020;519.820
Total Nacional;11 Extremadura;TOTAL EDADES;Españoles;Mujeres;2019;522.491
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Ambos sexos;2021;34.886
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Ambos sexos;2020;34.667
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Ambos sexos;2019;32.623
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Hombres;2021;16.791
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Hombres;2020;16.788
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Hombres;2019;15.904
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Mujeres;2021;18.095
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Mujeres;2020;17.879
Total Nacional;11 Extremadura;TOTAL EDADES;Extranjeros;Mujeres;2019;16.719
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;3,29
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;3,26
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;3,06
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Hombres;2021;3,20
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Hombres;2020;3,19
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Hombres;2019;3,01
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Mujeres;2021;3,38
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Mujeres;2020;3,33
Total Nacional;11 Extremadura;TOTAL EDADES;% Extranjeros;Mujeres;2019;3,10
Total Nacional;11 Extremadura;0-15 años;TOTAL;Ambos sexos;2021;150.078
Total Nacional;11 Extremadura;0-15 años;TOTAL;Ambos sexos;2020;152.774
Total Nacional;11 Extremadura;0-15 años;TOTAL;Ambos sexos;2019;155.257
Total Nacional;11 Extremadura;0-15 años;TOTAL;Hombres;2021;77.099
Total Nacional;11 Extremadura;0-15 años;TOTAL;Hombres;2020;78.407
Total Nacional;11 Extremadura;0-15 años;TOTAL;Hombres;2019;79.683
Total Nacional;11 Extremadura;0-15 años;TOTAL;Mujeres;2021;72.979
Total Nacional;11 Extremadura;0-15 años;TOTAL;Mujeres;2020;74.367
Total Nacional;11 Extremadura;0-15 años;TOTAL;Mujeres;2019;75.574
Total Nacional;11 Extremadura;0-15 años;Españoles;Ambos sexos;2021;144.474
Total Nacional;11 Extremadura;0-15 años;Españoles;Ambos sexos;2020;147.187
Total Nacional;11 Extremadura;0-15 años;Españoles;Ambos sexos;2019;149.932
Total Nacional;11 Extremadura;0-15 años;Españoles;Hombres;2021;74.210
Total Nacional;11 Extremadura;0-15 años;Españoles;Hombres;2020;75.525
Total Nacional;11 Extremadura;0-15 años;Españoles;Hombres;2019;76.955
Total Nacional;11 Extremadura;0-15 años;Españoles;Mujeres;2021;70.264
Total Nacional;11 Extremadura;0-15 años;Españoles;Mujeres;2020;71.662
Total Nacional;11 Extremadura;0-15 años;Españoles;Mujeres;2019;72.977
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Ambos sexos;2021;5.604
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Ambos sexos;2020;5.587
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Ambos sexos;2019;5.325
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Hombres;2021;2.889
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Hombres;2020;2.882
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Hombres;2019;2.728
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Mujeres;2021;2.715
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Mujeres;2020;2.705
Total Nacional;11 Extremadura;0-15 años;Extranjeros;Mujeres;2019;2.597
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Ambos sexos;2021;3,73
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Ambos sexos;2020;3,66
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Ambos sexos;2019;3,43
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Hombres;2021;3,75
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Hombres;2020;3,68
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Hombres;2019;3,42
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Mujeres;2021;3,72
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Mujeres;2020;3,64
Total Nacional;11 Extremadura;0-15 años;% Extranjeros;Mujeres;2019;3,44
Total Nacional;11 Extremadura;16-64 años;TOTAL;Ambos sexos;2021;685.088
Total Nacional;11 Extremadura;16-64 años;TOTAL;Ambos sexos;2020;687.967
Total Nacional;11 Extremadura;16-64 años;TOTAL;Ambos sexos;2019;691.235
Total Nacional;11 Extremadura;16-64 años;TOTAL;Hombres;2021;347.795
Total Nacional;11 Extremadura;16-64 años;TOTAL;Hombres;2020;349.629
Total Nacional;11 Extremadura;16-64 años;TOTAL;Hombres;2019;351.801
Total Nacional;11 Extremadura;16-64 años;TOTAL;Mujeres;2021;337.293
Total Nacional;11 Extremadura;16-64 años;TOTAL;Mujeres;2020;338.338
Total Nacional;11 Extremadura;16-64 años;TOTAL;Mujeres;2019;339.434
Total Nacional;11 Extremadura;16-64 años;Españoles;Ambos sexos;2021;657.681
Total Nacional;11 Extremadura;16-64 años;Españoles;Ambos sexos;2020;660.656
Total Nacional;11 Extremadura;16-64 años;Españoles;Ambos sexos;2019;665.520
Total Nacional;11 Extremadura;16-64 años;Españoles;Hombres;2021;334.817
Total Nacional;11 Extremadura;16-64 años;Españoles;Hombres;2020;336.584
Total Nacional;11 Extremadura;16-64 años;Españoles;Hombres;2019;339.401
Total Nacional;11 Extremadura;16-64 años;Españoles;Mujeres;2021;322.864
Total Nacional;11 Extremadura;16-64 años;Españoles;Mujeres;2020;324.072
Total Nacional;11 Extremadura;16-64 años;Españoles;Mujeres;2019;326.119
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Ambos sexos;2021;27.407
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Ambos sexos;2020;27.311
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Ambos sexos;2019;25.715
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Hombres;2021;12.978
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Hombres;2020;13.045
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Hombres;2019;12.400
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Mujeres;2021;14.429
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Mujeres;2020;14.266
Total Nacional;11 Extremadura;16-64 años;Extranjeros;Mujeres;2019;13.315
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Ambos sexos;2021;4,00
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Ambos sexos;2020;3,97
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Ambos sexos;2019;3,72
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Hombres;2021;3,73
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Hombres;2020;3,73
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Hombres;2019;3,52
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Mujeres;2021;4,28
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Mujeres;2020;4,22
Total Nacional;11 Extremadura;16-64 años;% Extranjeros;Mujeres;2019;3,92
Total Nacional;11 Extremadura;65 y más;TOTAL;Ambos sexos;2021;224.335
Total Nacional;11 Extremadura;65 y más;TOTAL;Ambos sexos;2020;223.246
Total Nacional;11 Extremadura;65 y más;TOTAL;Ambos sexos;2019;221.218
Total Nacional;11 Extremadura;65 y más;TOTAL;Hombres;2021;99.082
Total Nacional;11 Extremadura;65 y más;TOTAL;Hombres;2020;98.252
Total Nacional;11 Extremadura;65 y más;TOTAL;Hombres;2019;97.016
Total Nacional;11 Extremadura;65 y más;TOTAL;Mujeres;2021;125.253
Total Nacional;11 Extremadura;65 y más;TOTAL;Mujeres;2020;124.994
Total Nacional;11 Extremadura;65 y más;TOTAL;Mujeres;2019;124.202
Total Nacional;11 Extremadura;65 y más;Españoles;Ambos sexos;2021;222.460
Total Nacional;11 Extremadura;65 y más;Españoles;Ambos sexos;2020;221.477
Total Nacional;11 Extremadura;65 y más;Españoles;Ambos sexos;2019;219.635
Total Nacional;11 Extremadura;65 y más;Españoles;Hombres;2021;98.158
Total Nacional;11 Extremadura;65 y más;Españoles;Hombres;2020;97.391
Total Nacional;11 Extremadura;65 y más;Españoles;Hombres;2019;96.240
Total Nacional;11 Extremadura;65 y más;Españoles;Mujeres;2021;124.302
Total Nacional;11 Extremadura;65 y más;Españoles;Mujeres;2020;124.086
Total Nacional;11 Extremadura;65 y más;Españoles;Mujeres;2019;123.395
Total Nacional;11 Extremadura;65 y más;Extranjeros;Ambos sexos;2021;1.875
Total Nacional;11 Extremadura;65 y más;Extranjeros;Ambos sexos;2020;1.769
Total Nacional;11 Extremadura;65 y más;Extranjeros;Ambos sexos;2019;1.583
Total Nacional;11 Extremadura;65 y más;Extranjeros;Hombres;2021;924
Total Nacional;11 Extremadura;65 y más;Extranjeros;Hombres;2020;861
Total Nacional;11 Extremadura;65 y más;Extranjeros;Hombres;2019;776
Total Nacional;11 Extremadura;65 y más;Extranjeros;Mujeres;2021;951
Total Nacional;11 Extremadura;65 y más;Extranjeros;Mujeres;2020;908
Total Nacional;11 Extremadura;65 y más;Extranjeros;Mujeres;2019;807
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Ambos sexos;2021;0,84
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Ambos sexos;2020;0,79
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Ambos sexos;2019;0,72
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Hombres;2021;0,93
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Hombres;2020;0,88
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Hombres;2019;0,80
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Mujeres;2021;0,76
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Mujeres;2020;0,73
Total Nacional;11 Extremadura;65 y más;% Extranjeros;Mujeres;2019;0,65
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Ambos sexos;2021;2.695.645
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Ambos sexos;2020;2.701.819
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Ambos sexos;2019;2.699.499
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Hombres;2021;1.297.301
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Hombres;2020;1.300.153
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Hombres;2019;1.298.964
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Mujeres;2021;1.398.344
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Mujeres;2020;1.401.666
Total Nacional;12 Galicia;TOTAL EDADES;TOTAL;Mujeres;2019;1.400.535
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Ambos sexos;2021;2.581.111
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Ambos sexos;2020;2.589.181
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Ambos sexos;2019;2.598.631
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Hombres;2021;1.242.447
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Hombres;2020;1.246.128
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Hombres;2019;1.250.366
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Mujeres;2021;1.338.664
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Mujeres;2020;1.343.053
Total Nacional;12 Galicia;TOTAL EDADES;Españoles;Mujeres;2019;1.348.265
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Ambos sexos;2021;114.534
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Ambos sexos;2020;112.638
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Ambos sexos;2019;100.868
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Hombres;2021;54.854
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Hombres;2020;54.025
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Hombres;2019;48.598
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Mujeres;2021;59.680
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Mujeres;2020;58.613
Total Nacional;12 Galicia;TOTAL EDADES;Extranjeros;Mujeres;2019;52.270
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;4,25
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;4,17
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;3,74
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Hombres;2021;4,23
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Hombres;2020;4,16
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Hombres;2019;3,74
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Mujeres;2021;4,27
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Mujeres;2020;4,18
Total Nacional;12 Galicia;TOTAL EDADES;% Extranjeros;Mujeres;2019;3,73
Total Nacional;12 Galicia;0-15 años;TOTAL;Ambos sexos;2021;333.678
Total Nacional;12 Galicia;0-15 años;TOTAL;Ambos sexos;2020;339.176
Total Nacional;12 Galicia;0-15 años;TOTAL;Ambos sexos;2019;342.494
Total Nacional;12 Galicia;0-15 años;TOTAL;Hombres;2021;171.770
Total Nacional;12 Galicia;0-15 años;TOTAL;Hombres;2020;174.707
Total Nacional;12 Galicia;0-15 años;TOTAL;Hombres;2019;176.244
Total Nacional;12 Galicia;0-15 años;TOTAL;Mujeres;2021;161.908
Total Nacional;12 Galicia;0-15 años;TOTAL;Mujeres;2020;164.469
Total Nacional;12 Galicia;0-15 años;TOTAL;Mujeres;2019;166.250
Total Nacional;12 Galicia;0-15 años;Españoles;Ambos sexos;2021;319.384
Total Nacional;12 Galicia;0-15 años;Españoles;Ambos sexos;2020;324.904
Total Nacional;12 Galicia;0-15 años;Españoles;Ambos sexos;2019;329.954
Total Nacional;12 Galicia;0-15 años;Españoles;Hombres;2021;164.524
Total Nacional;12 Galicia;0-15 años;Españoles;Hombres;2020;167.476
Total Nacional;12 Galicia;0-15 años;Españoles;Hombres;2019;169.905
Total Nacional;12 Galicia;0-15 años;Españoles;Mujeres;2021;154.860
Total Nacional;12 Galicia;0-15 años;Españoles;Mujeres;2020;157.428
Total Nacional;12 Galicia;0-15 años;Españoles;Mujeres;2019;160.049
Total Nacional;12 Galicia;0-15 años;Extranjeros;Ambos sexos;2021;14.294
Total Nacional;12 Galicia;0-15 años;Extranjeros;Ambos sexos;2020;14.272
Total Nacional;12 Galicia;0-15 años;Extranjeros;Ambos sexos;2019;12.540
Total Nacional;12 Galicia;0-15 años;Extranjeros;Hombres;2021;7.246
Total Nacional;12 Galicia;0-15 años;Extranjeros;Hombres;2020;7.231
Total Nacional;12 Galicia;0-15 años;Extranjeros;Hombres;2019;6.339
Total Nacional;12 Galicia;0-15 años;Extranjeros;Mujeres;2021;7.048
Total Nacional;12 Galicia;0-15 años;Extranjeros;Mujeres;2020;7.041
Total Nacional;12 Galicia;0-15 años;Extranjeros;Mujeres;2019;6.201
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Ambos sexos;2021;4,28
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Ambos sexos;2020;4,21
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Ambos sexos;2019;3,66
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Hombres;2021;4,22
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Hombres;2020;4,14
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Hombres;2019;3,60
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Mujeres;2021;4,35
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Mujeres;2020;4,28
Total Nacional;12 Galicia;0-15 años;% Extranjeros;Mujeres;2019;3,73
Total Nacional;12 Galicia;16-64 años;TOTAL;Ambos sexos;2021;1.667.827
Total Nacional;12 Galicia;16-64 años;TOTAL;Ambos sexos;2020;1.674.819
Total Nacional;12 Galicia;16-64 años;TOTAL;Ambos sexos;2019;1.677.221
Total Nacional;12 Galicia;16-64 años;TOTAL;Hombres;2021;828.175
Total Nacional;12 Galicia;16-64 años;TOTAL;Hombres;2020;831.656
Total Nacional;12 Galicia;16-64 años;TOTAL;Hombres;2019;833.010
Total Nacional;12 Galicia;16-64 años;TOTAL;Mujeres;2021;839.652
Total Nacional;12 Galicia;16-64 años;TOTAL;Mujeres;2020;843.163
Total Nacional;12 Galicia;16-64 años;TOTAL;Mujeres;2019;844.211
Total Nacional;12 Galicia;16-64 años;Españoles;Ambos sexos;2021;1.575.162
Total Nacional;12 Galicia;16-64 años;Españoles;Ambos sexos;2020;1.583.758
Total Nacional;12 Galicia;16-64 años;Españoles;Ambos sexos;2019;1.595.233
Total Nacional;12 Galicia;16-64 años;Españoles;Hombres;2021;783.889
Total Nacional;12 Galicia;16-64 años;Españoles;Hombres;2020;788.085
Total Nacional;12 Galicia;16-64 años;Españoles;Hombres;2019;793.601
Total Nacional;12 Galicia;16-64 años;Españoles;Mujeres;2021;791.273
Total Nacional;12 Galicia;16-64 años;Españoles;Mujeres;2020;795.673
Total Nacional;12 Galicia;16-64 años;Españoles;Mujeres;2019;801.632
Total Nacional;12 Galicia;16-64 años;Extranjeros;Ambos sexos;2021;92.665
Total Nacional;12 Galicia;16-64 años;Extranjeros;Ambos sexos;2020;91.061
Total Nacional;12 Galicia;16-64 años;Extranjeros;Ambos sexos;2019;81.988
Total Nacional;12 Galicia;16-64 años;Extranjeros;Hombres;2021;44.286
Total Nacional;12 Galicia;16-64 años;Extranjeros;Hombres;2020;43.571
Total Nacional;12 Galicia;16-64 años;Extranjeros;Hombres;2019;39.409
Total Nacional;12 Galicia;16-64 años;Extranjeros;Mujeres;2021;48.379
Total Nacional;12 Galicia;16-64 años;Extranjeros;Mujeres;2020;47.490
